Start Hardware Leakage Evaluation

Library file:   library.lib
Library name:   NANG45
Design file:    design.v
Module name:    circuit
Linker file:    linker.ld
Settings file:  config.set
Result folder:  .

Read library file...done!
Read design file..."circuit"...done!
Make circuit depth...done!
Read settings file...done with 5 warnings!
    Warning "remove_full_probing_sets" is not specified. Default "remove_full_probing_sets" = no is taken!
    Warning "max_distance_multivariate" is not specified. Default "max_distance_multivariate" = 10 is taken!
    Warning "no_of_probing_sets_per_step" is not specified. Default "no_of_probing_sets_per_step" = all is taken!
    Warning "no_of_outputs" is not specified. Default "no_of_outputs" = 0 is taken!
    Warning "waveform_simulation" is not specified. Default "waveform_simulation" = false is taken!
Construct probes...done!
Prepare simulation memory...done!
Prepare shared data for 48 threads ...done!

Generate list of standard probes from 175 standard probe locations...700 standard probes found...done!
Generate list of extended probes from 108 extended probe locations...4000 extended probes found...done!
Generate univariate probing sets...done (last step)! 700 probing sets generated!
Extend all probing sets...done!
Remove duplicated probes in the sets...done!
Remove duplicated probing sets...done! 376 probing sets remain!
Remove subsets of probing sets...Setting univariate case...done! 356 probing sets remain!
----------------------------------------------------------------------------------------------------------------------------------
| #Standard Probes | #Extended Probes | Security Order | Distance | #Entries in Report | #Probing Sets | Maximum #Probes per Set |
----------------------------------------------------------------------------------------------------------------------------------
|              700 |              432 |              1 |       10 |                236 |           356 |                      32 |
----------------------------------------------------------------------------------------------------------------------------------

Evaluate security under the robust probing model!
----------------------------------------------------------------------------------------------------------------------------------------
|      Elapsed Time |      Required Ram |  Processed Simulations | Probing Set with highest Information Leakage |  -log10(p) |  Status |
----------------------------------------------------------------------------------------------------------------------------------------
|         0.123301s |        3.724644GB |         10240 / 129211 |                          RegIn_inst6_n62 (7) |   2.399149 |    OKAY |
|         0.301796s |        3.725304GB |         20480 / 179759 |                                    z1[5] (7) |   2.435532 |    OKAY |
|         0.398476s |        3.725304GB |         30720 / 218531 |                          RegIn_inst6_n54 (7) |   1.748478 |    OKAY |
|         0.520790s |        3.725304GB |         40960 / 251197 |                          RegIn_inst6_n57 (4) |   1.489692 |    OKAY |
|         0.635515s |        3.725304GB |         51200 / 279955 |                          RegIn_inst6_n51 (7) |   1.442213 |    OKAY |
|         0.761373s |        3.725700GB |         61440 / 305933 |                          RegIn_inst6_n57 (5) |   1.563100 |    OKAY |
|         0.969438s |        3.730332GB |         71680 / 329803 |                          RegIn_inst6_n57 (5) |   1.545039 |    OKAY |
|         1.129244s |        3.740124GB |         81920 / 352055 |                          RegIn_inst6_n57 (5) |   1.723728 |    OKAY |
|         1.291611s |        3.740124GB |         92160 / 372935 |                          RegIn_inst6_n57 (5) |   1.962386 |    OKAY |
|         1.442242s |        3.740124GB |        102400 / 392643 |                          RegIn_inst6_n51 (7) |   1.788074 |    OKAY |
|         1.635488s |        3.744732GB |        112640 / 411405 |                          RegIn_inst0_n53 (5) |   1.920792 |    OKAY |
|         1.814197s |        3.745280GB |        122880 / 429323 |                          RegIn_inst6_n60 (7) |   1.608042 |    OKAY |
|         1.995388s |        3.755680GB |        133120 / 446499 |                          RegIn_inst0_n62 (5) |   2.010116 |    OKAY |
